dep;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
01;2021-05-31;2918;2564;0;232382;118238;0;41.8;21.3;0.0
01;2021-06-01;3307;2781;0;235689;121019;0;42.4;21.8;0.0
01;2021-06-02;3498;2369;0;239187;123388;0;43.0;22.2;0.0
01;2021-06-03;4089;2624;0;243276;126012;0;43.8;22.7;0.0
01;2021-06-04;4837;3578;0;248113;129590;0;44.6;23.3;0.0
01;2021-06-05;3435;1684;0;251548;131274;0;45.3;23.6;0.0
01;2021-06-06;1099;202;0;252647;131476;0;45.5;23.7;0.0
01;2021-06-07;3970;3071;0;256617;134547;0;46.2;24.2;0.0
01;2021-06-08;4461;3059;0;261078;137606;0;47.0;24.8;0.0
01;2021-06-09;3688;2679;0;264766;140285;0;47.6;25.2;0.0
01;2021-06-10;3647;2482;0;268413;142767;0;48.3;25.7;0.0
01;2021-06-11;4031;3708;0;272444;146475;0;49.0;26.4;0.0
01;2021-06-12;2812;2149;0;275256;148624;0;49.5;26.7;0.0
01;2021-06-13;543;615;0;275799;149239;0;49.6;26.9;0.0
01;2021-06-14;2667;3362;0;278466;152601;0;50.1;27.5;0.0
01;2021-06-15;2734;3646;0;281200;156247;0;50.6;28.1;0.0
01;2021-06-16;2941;3619;0;284141;159866;0;51.1;28.8;0.0
01;2021-06-17;2696;3674;0;286837;163540;0;51.6;29.4;0.0
01;2021-06-18;3285;4647;0;290122;168187;0;52.2;30.3;0.0
01;2021-06-19;2186;2645;0;292308;170832;0;52.6;30.7;0.0
01;2021-06-20;532;823;0;292840;171655;0;52.7;30.9;0.0
01;2021-06-21;2041;4050;0;294881;175705;0;53.1;31.6;0.0
01;2021-06-22;1876;4424;0;296757;180129;0;53.4;32.4;0.0
01;2021-06-23;1949;3996;0;298706;184125;0;53.7;33.1;0.0
01;2021-06-24;1891;4010;0;300597;188135;0;54.1;33.8;0.0
01;2021-06-25;2254;5055;0;302851;193190;0;54.5;34.8;0.0
01;2021-06-26;1339;3033;0;304190;196223;0;54.7;35.3;0.0
01;2021-06-27;357;853;0;304547;197076;0;54.8;35.5;0.0
01;2021-06-28;1540;4535;0;306087;201611;0;55.1;36.3;0.0
01;2021-06-29;1659;4427;0;307746;206038;0;55.4;37.1;0.0
01;2021-06-30;1712;4704;0;309458;210742;0;55.7;37.9;0.0
01;2021-07-01;1917;4457;0;311375;215199;0;56.0;38.7;0.0
01;2021-07-02;2087;5223;0;313462;220422;0;56.4;39.7;0.0
01;2021-07-03;1153;3444;0;314615;223866;0;56.6;40.3;0.0
01;2021-07-04;352;891;0;314967;224757;0;56.7;40.4;0.0
01;2021-07-05;1932;4474;0;316899;229231;0;57.0;41.2;0.0
01;2021-07-06;1553;4779;0;318452;234010;0;57.3;42.1;0.0
01;2021-07-07;2126;4056;0;320578;238066;0;57.7;42.8;0.0
01;2021-07-08;1916;4001;0;322494;242067;0;58.0;43.6;0.0
01;2021-07-09;2291;5020;0;324785;247087;0;58.4;44.5;0.0
01;2021-07-10;1306;3509;0;326091;250596;0;58.7;45.1;0.0
01;2021-07-11;406;752;0;326497;251348;0;58.7;45.2;0.0
01;2021-07-12;1792;4783;0;328289;256131;0;59.1;46.1;0.0
01;2021-07-13;2505;5169;0;330794;261300;0;59.5;47.0;0.0
01;2021-07-14;672;749;0;331466;262049;0;59.6;47.1;0.0
01;2021-07-15;3374;5243;0;334840;267292;0;60.2;48.1;0.0
01;2021-07-16;4201;5756;0;339041;273048;0;61.0;49.1;0.0
01;2021-07-17;2412;3531;0;341453;276579;0;61.4;49.8;0.0
01;2021-07-18;607;1118;0;342060;277697;0;61.5;50.0;0.0
01;2021-07-19;3125;4781;0;345185;282478;0;62.1;50.8;0.0
01;2021-07-20;3762;4767;0;348947;287245;0;62.8;51.7;0.0
01;2021-07-21;4281;4583;0;353228;291828;0;63.6;52.5;0.0
01;2021-07-22;4538;4331;0;357766;296159;0;64.4;53.3;0.0
01;2021-07-23;4461;5203;0;362227;301362;0;65.2;54.2;0.0
01;2021-07-24;2649;3186;0;364876;304548;0;65.6;54.8;0.0
01;2021-07-25;451;531;0;365327;305079;0;65.7;54.9;0.0
01;2021-07-26;3863;4019;0;369190;309098;0;66.4;55.6;0.0
01;2021-07-27;4619;3532;0;373809;312630;0;67.3;56.2;0.0
01;2021-07-28;4575;3392;0;378384;316022;0;68.1;56.9;0.0
01;2021-07-29;5173;3067;0;383557;319089;0;69.0;57.4;0.0
01;2021-07-30;5080;4062;0;388637;323151;0;69.9;58.1;0.0
01;2021-07-31;3597;2123;0;392234;325274;0;70.6;58.5;0.0
01;2021-08-01;821;408;0;393055;325682;0;70.7;58.6;0.0
01;2021-08-02;3666;3029;1;396721;328711;1;71.4;59.1;0.0
01;2021-08-03;3744;2880;0;400465;331591;1;72.1;59.7;0.0
01;2021-08-04;3433;2247;0;403898;333838;1;72.7;60.1;0.0
01;2021-08-05;2931;2792;0;406829;336630;1;73.2;60.6;0.0
01;2021-08-06;3287;3593;0;410116;340223;1;73.8;61.2;0.0
01;2021-08-07;1987;1879;0;412103;342102;1;74.1;61.6;0.0
01;2021-08-08;512;328;0;412615;342430;1;74.2;61.6;0.0
01;2021-08-09;1769;3158;0;414384;345588;1;74.6;62.2;0.0
01;2021-08-10;2055;2993;0;416439;348581;1;74.9;62.7;0.0
01;2021-08-11;1970;3028;0;418409;351609;1;75.3;63.3;0.0
01;2021-08-12;1961;3321;0;420370;354930;1;75.6;63.9;0.0
01;2021-08-13;2146;3389;0;422516;358319;1;76.0;64.5;0.0
01;2021-08-14;1453;2210;0;423969;360529;1;76.3;64.9;0.0
01;2021-08-15;98;259;0;424067;360788;1;76.3;64.9;0.0
01;2021-08-16;1296;3512;0;425363;364300;1;76.5;65.5;0.0
01;2021-08-17;1630;3172;0;426993;367472;1;76.8;66.1;0.0
01;2021-08-18;1384;3239;0;428377;370711;1;77.1;66.7;0.0
01;2021-08-19;1368;2835;0;429745;373546;1;77.3;67.2;0.0
01;2021-08-20;1604;4272;0;431349;377818;1;77.6;68.0;0.0
01;2021-08-21;847;2605;0;432196;380423;1;77.8;68.4;0.0
01;2021-08-22;90;125;0;432286;380548;1;77.8;68.5;0.0
01;2021-08-23;1180;3779;0;433466;384327;1;78.0;69.1;0.0
01;2021-08-24;1371;3850;0;434837;388177;1;78.2;69.8;0.0
01;2021-08-25;1222;3715;0;436059;391892;1;78.5;70.5;0.0
01;2021-08-26;1663;3303;0;437722;395195;1;78.8;71.1;0.0
01;2021-08-27;1634;4350;0;439356;399545;1;79.0;71.9;0.0
01;2021-08-28;926;2714;0;440282;402259;1;79.2;72.4;0.0
01;2021-08-29;75;484;0;440357;402743;1;79.2;72.5;0.0
01;2021-08-30;1241;3494;27;441598;406237;28;79.5;73.1;0.0
01;2021-08-31;1206;2694;71;442804;408931;99;79.7;73.6;0.0
01;2021-09-01;1213;2277;205;444017;411208;304;79.9;74.0;0.1
01;2021-09-02;981;1900;302;444998;413108;606;80.1;74.3;0.1
01;2021-09-03;1235;2716;255;446233;415824;861;80.3;74.8;0.2
01;2021-09-04;778;2184;88;447011;418008;949;80.4;75.2;0.2
01;2021-09-05;185;246;32;447196;418254;981;80.5;75.3;0.2
01;2021-09-06;675;1320;381;447871;419574;1362;80.6;75.5;0.2
01;2021-09-07;611;1265;255;448482;420839;1617;80.7;75.7;0.3
01;2021-09-08;863;1621;250;449345;422460;1867;80.8;76.0;0.3
01;2021-09-09;764;1217;225;450109;423677;2092;81.0;76.2;0.4
01;2021-09-10;1052;1794;363;451161;425471;2455;81.2;76.6;0.4
01;2021-09-11;686;1465;68;451847;426936;2523;81.3;76.8;0.5
01;2021-09-12;42;96;5;451889;427032;2528;81.3;76.8;0.5
01;2021-09-13;616;1174;357;452505;428206;2885;81.4;77.0;0.5
01;2021-09-14;615;1048;516;453120;429254;3401;81.5;77.2;0.6
01;2021-09-15;777;1530;458;453897;430784;3859;81.7;77.5;0.7
01;2021-09-16;564;987;480;454461;431771;4339;81.8;77.7;0.8
01;2021-09-17;727;1569;508;455188;433340;4847;81.9;78.0;0.9
01;2021-09-18;362;1219;56;455550;434559;4903;82.0;78.2;0.9
01;2021-09-19;47;104;16;455597;434663;4919;82.0;78.2;0.9
01;2021-09-20;363;716;503;455960;435379;5422;82.0;78.3;1.0
01;2021-09-21;408;808;692;456368;436187;6114;82.1;78.5;1.1
01;2021-09-22;366;1105;480;456734;437292;6594;82.2;78.7;1.2
01;2021-09-23;343;776;474;457077;438068;7068;82.2;78.8;1.3
01;2021-09-24;406;1076;410;457483;439144;7478;82.3;79.0;1.3
01;2021-09-25;277;967;82;457760;440111;7560;82.4;79.2;1.4
01;2021-09-26;19;115;3;457779;440226;7563;82.4;79.2;1.4
01;2021-09-27;195;603;201;457974;440829;7764;82.4;79.3;1.4
01;2021-09-28;318;1141;548;458292;441970;8312;82.5;79.5;1.5
01;2021-09-29;450;1329;457;458742;443299;8769;82.5;79.8;1.6
01;2021-09-30;374;809;446;459116;444108;9215;82.6;79.9;1.7
01;2021-10-01;546;1200;521;459662;445308;9736;82.7;80.1;1.8
01;2021-10-02;414;1239;178;460076;446547;9914;82.8;80.3;1.8
01;2021-10-03;27;62;13;460103;446609;9927;82.8;80.4;1.8
01;2021-10-04;229;565;380;460332;447174;10307;82.8;80.5;1.9
01;2021-10-05;245;546;538;460577;447720;10845;82.9;80.6;2.0
01;2021-10-06;402;802;498;460979;448522;11343;82.9;80.7;2.0
01;2021-10-07;236;514;506;461215;449036;11849;83.0;80.8;2.1
01;2021-10-08;390;776;585;461605;449812;12434;83.1;80.9;2.2
01;2021-10-09;343;676;269;461948;450488;12703;83.1;81.1;2.3
01;2021-10-10;12;28;2;461960;450516;12705;83.1;81.1;2.3
01;2021-10-11;208;478;541;462168;450994;13246;83.2;81.1;2.4
01;2021-10-12;202;390;538;462370;451384;13784;83.2;81.2;2.5
01;2021-10-13;368;589;819;462738;451973;14603;83.3;81.3;2.6
01;2021-10-14;191;578;508;462929;452551;15111;83.3;81.4;2.7
01;2021-10-15;385;561;765;463314;453112;15876;83.4;81.5;2.9
01;2021-10-16;293;446;318;463607;453558;16194;83.4;81.6;2.9
01;2021-10-17;10;30;1;463617;453588;16195;83.4;81.6;2.9
01;2021-10-18;171;264;662;463788;453852;16857;83.4;81.7;3.0
01;2021-10-19;129;301;633;463917;454153;17490;83.5;81.7;3.1
01;2021-10-20;231;474;932;464148;454627;18422;83.5;81.8;3.3
01;2021-10-21;104;376;623;464252;455003;19045;83.5;81.9;3.4
01;2021-10-22;161;540;766;464413;455543;19811;83.6;82.0;3.6
01;2021-10-23;112;463;375;464525;456006;20186;83.6;82.0;3.6
01;2021-10-24;5;7;8;464530;456013;20194;83.6;82.0;3.6
01;2021-10-25;146;242;781;464676;456255;20975;83.6;82.1;3.8
01;2021-10-26;96;186;640;464772;456441;21615;83.6;82.1;3.9
01;2021-10-27;190;393;906;464962;456834;22521;83.7;82.2;4.1
01;2021-10-28;95;173;598;465057;457007;23119;83.7;82.2;4.2
01;2021-10-29;144;315;897;465201;457322;24016;83.7;82.3;4.3
01;2021-10-30;100;346;470;465301;457668;24486;83.7;82.3;4.4
01;2021-10-31;3;11;12;465304;457679;24498;83.7;82.3;4.4
01;2021-11-01;10;11;7;465314;457690;24505;83.7;82.3;4.4
01;2021-11-02;68;184;636;465382;457874;25141;83.7;82.4;4.5
01;2021-11-03;166;391;1307;465548;458265;26448;83.8;82.5;4.8
01;2021-11-04;93;152;816;465641;458417;27264;83.8;82.5;4.9
01;2021-11-05;150;311;1125;465791;458728;28389;83.8;82.5;5.1
01;2021-11-06;89;297;684;465880;459025;29073;83.8;82.6;5.2
01;2021-11-07;1;14;8;465881;459039;29081;83.8;82.6;5.2
01;2021-11-08;99;228;1378;465980;459267;30459;83.8;82.6;5.5
01;2021-11-09;81;192;1294;466061;459459;31753;83.9;82.7;5.7
01;2021-11-10;190;303;1957;466251;459762;33710;83.9;82.7;6.1
01;2021-11-11;10;11;47;466261;459773;33757;83.9;82.7;6.1
01;2021-11-12;107;203;1528;466368;459976;35285;83.9;82.8;6.3
01;2021-11-13;139;162;1117;466507;460138;36402;83.9;82.8;6.5
01;2021-11-14;6;12;18;466513;460150;36420;83.9;82.8;6.6
01;2021-11-15;83;118;1674;466596;460268;38094;83.9;82.8;6.9
01;2021-11-16;89;158;1721;466685;460426;39815;84.0;82.8;7.2
01;2021-11-17;156;279;2384;466841;460705;42199;84.0;82.9;7.6
01;2021-11-18;93;140;1719;466934;460845;43918;84.0;82.9;7.9
01;2021-11-19;150;245;2258;467084;461090;46176;84.0;83.0;8.3
01;2021-11-20;159;152;1295;467243;461242;47471;84.1;83.0;8.5
01;2021-11-21;4;20;12;467247;461262;47483;84.1;83.0;8.5
01;2021-11-22;75;131;2140;467322;461393;49623;84.1;83.0;8.9
01;2021-11-23;111;113;2257;467433;461506;51880;84.1;83.0;9.3
01;2021-11-24;231;250;2819;467664;461756;54699;84.1;83.1;9.8
01;2021-11-25;98;120;2329;467762;461876;57028;84.2;83.1;10.3
01;2021-11-26;158;183;3632;467920;462059;60660;84.2;83.1;10.9
01;2021-11-27;168;190;2273;468088;462249;62933;84.2;83.2;11.3
01;2021-11-28;4;8;498;468092;462257;63431;84.2;83.2;11.4
01;2021-11-29;91;142;3979;468183;462399;67410;84.2;83.2;12.1
01;2021-11-30;87;117;3856;468270;462516;71266;84.3;83.2;12.8
01;2021-12-01;86;172;3420;468356;462688;74686;84.3;83.2;13.4
01;2021-12-02;88;109;4383;468444;462797;79069;84.3;83.3;14.2
01;2021-12-03;117;185;5636;468561;462982;84705;84.3;83.3;15.2
01;2021-12-04;85;176;3015;468646;463158;87720;84.3;83.3;15.8
01;2021-12-05;15;18;1044;468661;463176;88764;84.3;83.3;16.0
01;2021-12-06;88;131;5169;468749;463307;93933;84.3;83.4;16.9
01;2021-12-07;123;148;6677;468872;463455;100610;84.4;83.4;18.1
01;2021-12-08;103;209;5275;468975;463664;105885;84.4;83.4;19.1
01;2021-12-09;97;121;6111;469072;463785;111996;84.4;83.4;20.2
01;2021-12-10;134;196;7066;469206;463981;119062;84.4;83.5;21.4
01;2021-12-11;86;150;3747;469292;464131;122809;84.4;83.5;22.1
01;2021-12-12;15;19;1055;469307;464150;123864;84.4;83.5;22.3
01;2021-12-13;89;136;7035;469396;464286;130899;84.5;83.5;23.6
01;2021-12-14;132;191;8618;469528;464477;139517;84.5;83.6;25.1
01;2021-12-15;125;222;7601;469653;464699;147118;84.5;83.6;26.5
01;2021-12-16;114;145;8157;469767;464844;155275;84.5;83.6;27.9
01;2021-12-17;130;226;8563;469897;465070;163838;84.5;83.7;29.5
01;2021-12-18;130;185;4663;470027;465255;168501;84.6;83.7;30.3
01;2021-12-19;21;41;1690;470048;465296;170191;84.6;83.7;30.6
02;2020-12-27;1;0;0;1;0;0;0.0;0.0;0.0
02;2020-12-28;0;0;0;1;0;0;0.0;0.0;0.0
02;2020-12-29;0;0;0;1;0;0;0.0;0.0;0.0
02;2020-12-30;0;0;0;1;0;0;0.0;0.0;0.0
02;2020-12-31;0;0;0;1;0;0;0.0;0.0;0.0
02;2021-01-01;0;0;0;1;0;0;0.0;0.0;0.0
02;2021-01-02;0;0;0;1;0;0;0.0;0.0;0.0
02;2021-01-03;0;0;0;1;0;0;0.0;0.0;0.0
02;2021-01-04;1;0;0;2;0;0;0.0;0.0;0.0
02;2021-01-05;2;0;0;4;0;0;0.0;0.0;0.0
02;2021-01-06;25;0;0;29;0;0;0.0;0.0;0.0
02;2021-01-07;262;2;0;291;2;0;0.1;0.0;0.0
02;2021-01-08;502;2;0;793;4;0;0.2;0.0;0.0
02;2021-01-09;77;0;0;870;4;0;0.2;0.0;0.0
02;2021-01-10;52;0;0;922;4;0;0.2;0.0;0.0
02;2021-01-11;267;0;0;1189;4;0;0.3;0.0;0.0
02;2021-01-12;356;1;0;1545;5;0;0.3;0.0;0.0
02;2021-01-13;458;4;0;2003;9;0;0.4;0.0;0.0
02;2021-01-14;654;9;0;2657;18;0;0.6;0.0;0.0
02;2021-01-15;614;7;0;3271;25;0;0.7;0.0;0.0
02;2021-01-16;315;4;0;3586;29;0;0.8;0.0;0.0
02;2021-01-17;56;0;0;3642;29;0;0.8;0.0;0.0
02;2021-01-18;757;8;0;4399;37;0;1.0;0.0;0.0
02;2021-01-19;935;5;0;5334;42;0;1.2;0.0;0.0
02;2021-01-20;1320;7;0;6654;49;0;1.5;0.0;0.0
02;2021-01-21;2337;12;0;8991;61;0;2.0;0.0;0.0
02;2021-01-22;1375;6;0;10366;67;0;2.3;0.0;0.0
02;2021-01-23;296;3;0;10662;70;0;2.4;0.0;0.0
